decklist_id,card_id,quantity,code,title,type_code,faction_code,side_code,pack_code
92078,26035,1,26035,Hagen,ice,haas-bioroid,corp,df
92078,26036,3,26036,Fully Operational,operation,haas-bioroid,corp,df
92078,26063,2,26063,Vulnerability Audit,agenda,neutral-corp,corp,df
92078,26098,3,26098,Bass CH1R180G4,asset,haas-bioroid,corp,ur
92078,26101,3,26101,Drafter,ice,haas-bioroid,corp,ur
92078,26105,3,26105,Tranquility Home Grid,upgrade,haas-bioroid,corp,ur
92078,30036,1,30036,Luminal Transubstantiation,agenda,haas-bioroid,corp,sg
92078,30053,3,30053,Spin Doctor,asset,nbn,corp,sg
92078,30067,3,30067,Offworld Office,agenda,neutral-corp,corp,sg
92078,30074,3,30074,Whitespace,ice,neutral-corp,corp,sg
92078,34033,3,34033,Wage Workers,asset,haas-bioroid,corp,tai
92078,34044,2,34044,Tatu-Bola,ice,jinteki,corp,tai
92078,35036,1,35036,Poétrï Luxury Brands: All the Rage,identity,haas-bioroid,corp,elev
92078,35038,3,35038,Project Ingatan,agenda,haas-bioroid,corp,elev
92078,35040,3,35040,Otto Campaign,asset,haas-bioroid,corp,elev
92078,35042,3,35042,Scatter Field,ice,haas-bioroid,corp,elev
92078,35072,3,35072,Anthill Excavation Contract,asset,weyland-consortium,corp,elev
92078,35079,2,35079,Flyswatter,ice,neutral-corp,corp,elev
92078,35080,2,35080,Lamplighter,ice,neutral-corp,corp,elev
92078,35082,3,35082,Mahkota Langit Grid,upgrade,neutral-corp,corp,elev
92072,26035,1,26035,Hagen,ice,haas-bioroid,corp,df
92072,26036,3,26036,Fully Operational,operation,haas-bioroid,corp,df
92072,26098,3,26098,Bass CH1R180G4,asset,haas-bioroid,corp,ur
92072,26101,3,26101,Drafter,ice,haas-bioroid,corp,ur
92072,26105,3,26105,Tranquility Home Grid,upgrade,haas-bioroid,corp,ur
92072,30036,1,30036,Luminal Transubstantiation,agenda,haas-bioroid,corp,sg
92072,30042,1,30042,Manegarm Skunkworks,upgrade,haas-bioroid,corp,sg
92072,30053,3,30053,Spin Doctor,asset,nbn,corp,sg
92072,30067,3,30067,Offworld Office,agenda,neutral-corp,corp,sg
92072,30069,2,30069,Send a Message,agenda,neutral-corp,corp,sg
92072,30074,3,30074,Whitespace,ice,neutral-corp,corp,sg
92072,33047,1,33047,Mavirus,upgrade,jinteki,corp,ms
92072,33059,1,33059,Svyatogor Excavator,asset,weyland-consortium,corp,ms
92072,33061,2,33061,Maskirovka,ice,weyland-consortium,corp,ms
92072,34033,3,34033,Wage Workers,asset,haas-bioroid,corp,tai
92072,34108,2,34108,Cohort Guidance Program,asset,jinteki,corp,rwr
92072,35036,1,35036,Poétrï Luxury Brands: All the Rage,identity,haas-bioroid,corp,elev
92072,35038,3,35038,Project Ingatan,agenda,haas-bioroid,corp,elev
92072,35040,3,35040,Otto Campaign,asset,haas-bioroid,corp,elev
92072,35042,3,35042,Scatter Field,ice,haas-bioroid,corp,elev
92072,35079,1,35079,Flyswatter,ice,neutral-corp,corp,elev
92072,35080,2,35080,Lamplighter,ice,neutral-corp,corp,elev
92072,35082,2,35082,Mahkota Langit Grid,upgrade,neutral-corp,corp,elev
92067,26056,2,26056,SDS Drone Deployment,agenda,weyland-consortium,corp,df
92067,26058,1,26058,Afshar,ice,weyland-consortium,corp,df
92067,30053,2,30053,Spin Doctor,asset,nbn,corp,sg
92067,30060,1,30060,Above the Law,agenda,weyland-consortium,corp,sg
92067,30067,2,30067,Offworld Office,agenda,neutral-corp,corp,sg
92067,30073,1,30073,Tithe,ice,neutral-corp,corp,sg
92067,30075,2,30075,Hedge Fund,operation,neutral-corp,corp,sg
92067,33047,2,33047,Mavirus,upgrade,jinteki,corp,ms
92067,33057,1,33057,Ob Superheavy Logistics: Extract. Export. Excel.,identity,weyland-consortium,corp,ms
92067,33060,1,33060,Envelopment,ice,weyland-consortium,corp,ms
92067,33061,3,33061,Maskirovka,ice,weyland-consortium,corp,ms
92067,33062,3,33062,Stavka,ice,weyland-consortium,corp,ms
92067,33063,3,33063,Extract,operation,weyland-consortium,corp,ms
92067,33108,1,33108,Hafrún,ice,jinteki,corp,ph
92067,33126,3,33126,Yakov Erikovich Avdakov,upgrade,weyland-consortium,corp,ph
92067,33127,2,33127,ZATO City Grid,upgrade,weyland-consortium,corp,ph
92067,34057,1,34057,Slash and Burn Agriculture,agenda,weyland-consortium,corp,tai
92067,34059,2,34059,Tree Line,ice,weyland-consortium,corp,tai
92067,34064,1,34064,Tucana,upgrade,weyland-consortium,corp,tai
92067,34120,1,34120,The Holo Man,upgrade,nbn,corp,rwr
92067,34127,2,34127,Logjam,ice,weyland-consortium,corp,rwr
92067,35039,2,35039,Humanoid Resources,asset,haas-bioroid,corp,elev
92067,35056,1,35056,Mitra Aman,upgrade,jinteki,corp,elev
92067,35071,3,35071,Off the Books,agenda,weyland-consortium,corp,elev
92067,35072,3,35072,Anthill Excavation Contract,asset,weyland-consortium,corp,elev
92067,35075,1,35075,Kessleroid,ice,weyland-consortium,corp,elev
92067,35077,1,35077,Key Performance Indicators,operation,weyland-consortium,corp,elev
92067,35079,2,35079,Flyswatter,ice,neutral-corp,corp,elev
91088,26048,3,26048,Daily Quest,asset,nbn,corp,df
91088,26115,3,26115,F2P,ice,nbn,corp,ur
91088,26130,1,26130,NAPD Cordon,operation,neutral-corp,corp,ur
91088,30039,3,30039,Brân 1.0,ice,haas-bioroid,corp,sg
91088,30052,1,30052,Tomorrowʼs Headline,agenda,nbn,corp,sg
91088,30053,3,30053,Spin Doctor,asset,nbn,corp,sg
91088,30056,3,30056,Predictive Planogram,operation,nbn,corp,sg
91088,30067,3,30067,Offworld Office,agenda,neutral-corp,corp,sg
91088,30069,1,30069,Send a Message,agenda,neutral-corp,corp,sg
91088,30075,3,30075,Hedge Fund,operation,neutral-corp,corp,sg
91088,33048,1,33048,Pravdivost Consulting: Political Solutions,identity,nbn,corp,ms
91088,33052,1,33052,Ubiquitous Vig,asset,nbn,corp,ms
