decklist_id,card_id,quantity,code,title,type_code,faction_code,side_code,pack_code
92079,26072,2,26072,Mystic Maemi,resource,anarch,runner,ur
92079,26074,3,26074,Bravado,event,criminal,runner,ur
92079,30011,1,30011,Mutual Favor,event,criminal,runner,sg
92079,30012,1,30012,Tread Lightly,event,criminal,runner,sg
92079,30016,1,30016,Marjanah,program,criminal,runner,sg
92079,30028,3,30028,Jailbreak,event,neutral-runner,runner,sg
92079,30029,2,30029,Overclock,event,neutral-runner,runner,sg
92079,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
92079,32002,1,32002,Revolver,program,criminal,runner,msbp
92079,33010,1,33010,The Twinning,resource,anarch,runner,ms
92079,33012,3,33012,Carpe Diem,event,criminal,runner,ms
92079,33013,3,33013,Pinhole Threading,event,criminal,runner,ms
92079,33017,3,33017,Cezve,program,criminal,runner,ms
92079,33066,1,33066,Finality,event,anarch,runner,ph
92079,33094,6,33094,Matryoshka,program,neutral-runner,runner,ph
92079,34014,2,34014,Hermes,hardware,criminal,runner,tai
92079,34030,2,34030,Bahia Bands,event,neutral-runner,runner,tai
92079,34085,1,34085,Burner,event,shaper,runner,rwr
92079,35013,1,35013,MuslihaT: Multifarious Marketeer,identity,criminal,runner,elev
92079,35014,3,35014,Clean Getaway,event,criminal,runner,elev
92079,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
92071,26021,2,26021,Khusyuk,event,shaper,runner,df
92071,26024,1,26024,Gauss,program,shaper,runner,df
92071,26029,1,26029,Rejig,event,neutral-runner,runner,df
92071,26085,3,26085,Simulchip,hardware,shaper,runner,ur
92071,26090,1,26090,Self-modifying Code,program,shaper,runner,ur
92071,30007,1,30007,Fermenter,program,anarch,runner,sg
92071,30020,3,30020,Creative Commission,event,shaper,runner,sg
92071,30022,3,30022,DZMZ Optimizer,hardware,shaper,runner,sg
92071,30025,1,30025,Echelon,program,shaper,runner,sg
92071,30026,1,30026,Unity,program,shaper,runner,sg
92071,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
92071,32002,1,32002,Revolver,program,criminal,runner,msbp
92071,33013,1,33013,Pinhole Threading,event,criminal,runner,ms
92071,33027,1,33027,Propeller,program,shaper,runner,ms
92071,33029,2,33029,Environmental Testing,resource,shaper,runner,ms
92071,33092,3,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
92071,34008,1,34008,"Hannah ""Wheels"" Pilintra",resource,anarch,runner,tai
92071,34080,1,34080,Cupellation,program,criminal,runner,rwr
92071,34082,1,34082,Physarum Entangler,program,criminal,runner,rwr
92071,34089,3,34089,Coalescence,program,shaper,runner,rwr
92071,34091,3,34091,Muse,program,shaper,runner,rwr
92071,35007,1,35007,Gourmand,program,anarch,runner,elev
92071,35023,1,35023,Dewi Subrotoputri: Pedagogical Dhalang,identity,shaper,runner,elev
92071,35026,3,35026,Ritual,event,shaper,runner,elev
92071,35028,2,35028,Madani,hardware,shaper,runner,elev
92071,35029,1,35029,Azimat,program,shaper,runner,elev
92071,35033,3,35033,“Knickknack” O’Brian,resource,shaper,runner,elev
89682,26018,3,26018,The Class Act,resource,criminal,runner,df
89682,26074,3,26074,Bravado,event,criminal,runner,ur
89682,26075,3,26075,Boomerang,hardware,criminal,runner,ur
89682,30010,1,30010,Zahya Sadeghi: Versatile Smuggler,identity,criminal,runner,sg
89682,30011,1,30011,Mutual Favor,event,criminal,runner,sg
89682,30013,1,30013,Docklands Pass,hardware,criminal,runner,sg
