tournament_id,player,decklist_id,card_id,quantity,code,title,faction_code,side_code,type_code
5079,lunari,91799,26035,1,26035,Hagen,haas-bioroid,corp,ice
5079,lunari,91799,26037,3,26037,Red Level Clearance,haas-bioroid,corp,operation
5079,lunari,91799,26101,3,26101,Drafter,haas-bioroid,corp,ice
5079,lunari,91799,26104,1,26104,Scapenet,haas-bioroid,corp,operation
5079,lunari,91799,30035,1,30035,Haas-Bioroid: Precision Design,haas-bioroid,corp,identity
5079,lunari,91799,30041,2,30041,Sprint,haas-bioroid,corp,operation
5079,lunari,91799,30053,3,30053,Spin Doctor,nbn,corp,asset
5079,lunari,91799,30075,3,30075,Hedge Fund,neutral-corp,corp,operation
5079,lunari,91799,33031,3,33031,Élivágar Bifurcation,haas-bioroid,corp,agenda
5079,lunari,91799,33038,3,33038,Big Deal,haas-bioroid,corp,operation
5079,lunari,91799,33096,3,33096,Ontological Dependence,haas-bioroid,corp,agenda
5079,lunari,91799,33097,3,33097,Nightmare Archive,haas-bioroid,corp,asset
5079,lunari,91799,33102,2,33102,Djupstad Grid,haas-bioroid,corp,upgrade
5079,lunari,91799,34031,3,34031,Salvo Testing,haas-bioroid,corp,agenda
5079,lunari,91799,34044,3,34044,Tatu-Bola,jinteki,corp,ice
5079,lunari,91799,34056,3,34056,Your Digital Life,nbn,corp,operation
5079,lunari,91799,34103,3,34103,Corporate Hospitality,haas-bioroid,corp,operation
5079,lunari,91799,35042,2,35042,Scatter Field,haas-bioroid,corp,ice
5079,CyberspacePanda,91794,26035,1,26035,Hagen,haas-bioroid,corp,ice
5079,CyberspacePanda,91794,26036,3,26036,Fully Operational,haas-bioroid,corp,operation
5079,CyberspacePanda,91794,26063,2,26063,Vulnerability Audit,neutral-corp,corp,agenda
5079,CyberspacePanda,91794,26098,3,26098,Bass CH1R180G4,haas-bioroid,corp,asset
5079,CyberspacePanda,91794,26101,3,26101,Drafter,haas-bioroid,corp,ice
5079,CyberspacePanda,91794,26105,3,26105,Tranquility Home Grid,haas-bioroid,corp,upgrade
5079,CyberspacePanda,91794,30036,1,30036,Luminal Transubstantiation,haas-bioroid,corp,agenda
5079,CyberspacePanda,91794,30037,3,30037,Nico Campaign,haas-bioroid,corp,asset
5079,CyberspacePanda,91794,30053,3,30053,Spin Doctor,nbn,corp,asset
5079,CyberspacePanda,91794,30067,3,30067,Offworld Office,neutral-corp,corp,agenda
5079,CyberspacePanda,91794,30074,3,30074,Whitespace,neutral-corp,corp,ice
5079,CyberspacePanda,91794,33061,3,33061,Maskirovka,weyland-consortium,corp,ice
5079,CyberspacePanda,91794,34033,3,34033,Wage Workers,haas-bioroid,corp,asset
5079,CyberspacePanda,91794,34130,1,34130,The Powers That Be,neutral-corp,corp,asset
5079,CyberspacePanda,91794,35036,1,35036,Poétrï Luxury Brands: All the Rage,haas-bioroid,corp,identity
5079,CyberspacePanda,91794,35038,3,35038,Project Ingatan,haas-bioroid,corp,agenda
5079,CyberspacePanda,91794,35040,3,35040,Otto Campaign,haas-bioroid,corp,asset
5079,CyberspacePanda,91794,35042,3,35042,Scatter Field,haas-bioroid,corp,ice
5079,CyberspacePanda,91794,35080,2,35080,Lamplighter,neutral-corp,corp,ice
5079,CyberspacePanda,91794,35082,3,35082,Mahkota Langit Grid,neutral-corp,corp,upgrade
5079,Kiriel,91785,26041,3,26041,Sting!,jinteki,corp,agenda
5079,Kiriel,91785,26044,1,26044,Saisentan,jinteki,corp,ice
5079,Kiriel,91785,26099,2,26099,Cerebral Overwriter,haas-bioroid,corp,asset
5079,Kiriel,91785,26111,2,26111,Kakurenbo,jinteki,corp,operation
