tournament_id,player,decklist_id,card_id,quantity,code,title,faction_code,side_code,type_code
5079,lunari,91796,26019,1,26019,Lat: Ethical Freelancer,shaper,runner,identity
5079,lunari,91796,26022,1,26022,Spec Work,shaper,runner,event
5079,lunari,91796,26024,1,26024,Gauss,shaper,runner,program
5079,lunari,91796,26025,1,26025,Pelangi,shaper,runner,program
5079,lunari,91796,26084,3,26084,Aniccam,shaper,runner,hardware
5079,lunari,91796,26085,3,26085,Simulchip,shaper,runner,hardware
5079,lunari,91796,26090,3,26090,Self-modifying Code,shaper,runner,program
5079,lunari,91796,30026,1,30026,Unity,shaper,runner,program
5079,lunari,91796,30027,2,30027,Telework Contract,shaper,runner,resource
5079,lunari,91796,30028,3,30028,Jailbreak,neutral-runner,runner,event
5079,lunari,91796,30029,3,30029,Overclock,neutral-runner,runner,event
5079,lunari,91796,30030,3,30030,Sure Gamble,neutral-runner,runner,event
5079,lunari,91796,32002,1,32002,Revolver,criminal,runner,program
5079,lunari,91796,33013,2,33013,Pinhole Threading,criminal,runner,event
5079,lunari,91796,33020,2,33020,No Free Lunch,criminal,runner,resource
5079,lunari,91796,33024,2,33024,Rigging Up,shaper,runner,event
5079,lunari,91796,33027,1,33027,Propeller,shaper,runner,program
5079,lunari,91796,33030,3,33030,Stoneship Chart Room,shaper,runner,resource
5079,lunari,91796,34080,1,34080,Cupellation,criminal,runner,program
5079,lunari,91796,34085,1,34085,Burner,shaper,runner,event
5079,lunari,91796,34088,1,34088,Cataloguer,shaper,runner,hardware
5079,lunari,91796,34089,2,34089,Coalescence,shaper,runner,program
5079,lunari,91796,35014,3,35014,Clean Getaway,criminal,runner,event
5079,lunari,91796,35026,2,35026,Ritual,shaper,runner,event
5079,lunari,91796,35029,1,35029,Azimat,shaper,runner,program
5079,CyberspacePanda,91793,26021,2,26021,Khusyuk,shaper,runner,event
5079,CyberspacePanda,91793,26024,1,26024,Gauss,shaper,runner,program
5079,CyberspacePanda,91793,26029,2,26029,Rejig,neutral-runner,runner,event
5079,CyberspacePanda,91793,26085,3,26085,Simulchip,shaper,runner,hardware
5079,CyberspacePanda,91793,26090,1,26090,Self-modifying Code,shaper,runner,program
5079,CyberspacePanda,91793,30007,2,30007,Fermenter,anarch,runner,program
5079,CyberspacePanda,91793,30022,3,30022,DZMZ Optimizer,shaper,runner,hardware
5079,CyberspacePanda,91793,30025,1,30025,Echelon,shaper,runner,program
5079,CyberspacePanda,91793,30026,1,30026,Unity,shaper,runner,program
5079,CyberspacePanda,91793,30030,3,30030,Sure Gamble,neutral-runner,runner,event
5079,CyberspacePanda,91793,32002,1,32002,Revolver,criminal,runner,program
5079,CyberspacePanda,91793,33013,1,33013,Pinhole Threading,criminal,runner,event
5079,CyberspacePanda,91793,33027,1,33027,Propeller,shaper,runner,program
5079,CyberspacePanda,91793,33029,2,33029,Environmental Testing,shaper,runner,resource
5079,CyberspacePanda,91793,33092,3,33092,Dr. Nuka Vrolyck,shaper,runner,resource
5079,CyberspacePanda,91793,34008,1,34008,"Hannah ""Wheels"" Pilintra",anarch,runner,resource
5079,CyberspacePanda,91793,34080,1,34080,Cupellation,criminal,runner,program
5079,CyberspacePanda,91793,34082,1,34082,Physarum Entangler,criminal,runner,program
5079,CyberspacePanda,91793,34089,3,34089,Coalescence,shaper,runner,program
5079,CyberspacePanda,91793,34091,3,34091,Muse,shaper,runner,program
5079,CyberspacePanda,91793,35023,1,35023,Dewi Subrotoputri: Pedagogical Dhalang,shaper,runner,identity
5079,CyberspacePanda,91793,35026,3,35026,Ritual,shaper,runner,event
5079,CyberspacePanda,91793,35028,2,35028,Madani,shaper,runner,hardware
5079,CyberspacePanda,91793,35029,1,35029,Azimat,shaper,runner,program
5079,CyberspacePanda,91793,35033,3,35033,“Knickknack” O’Brian,shaper,runner,resource
5079,Kiriel,91779,26068,3,26068,Devil Charm,anarch,runner,hardware
5079,Kiriel,91779,26093,1,26093,Buffer Drive,neutral-runner,runner,hardware
5079,Kiriel,91779,30004,3,30004,Botulus,anarch,runner,program
5079,Kiriel,91779,33004,3,33004,Steelskin Scarring,anarch,runner,event
5079,Kiriel,91779,34001,2,34001,Strike Fund,anarch,runner,event
5079,Kiriel,91779,34003,3,34003,Solidarity Badge,anarch,runner,hardware
5079,Kiriel,91779,34004,2,34004,Audrey v2,anarch,runner,program
5079,Kiriel,91779,34007,1,34007,Eru Ayase-Pessoa,anarch,runner,resource
5079,Kiriel,91779,34008,1,34008,"Hannah ""Wheels"" Pilintra",anarch,runner,resource
5079,Kiriel,91779,34009,3,34009,Lago Paranoá Shelter,anarch,runner,resource
5079,Kiriel,91779,34066,1,34066,Sebastião Souza Pessoa: Activist Organizer,anarch,runner,identity
5079,Kiriel,91779,34068,3,34068,Privileged Access,anarch,runner,event
5079,Kiriel,91779,34069,3,34069,Amanuensis,anarch,runner,hardware
5079,Kiriel,91779,34073,3,34073,Arruaceiras Crew,anarch,runner,resource
5079,Kiriel,91779,34074,3,34074,Friend of a Friend,anarch,runner,resource
5079,Kiriel,91779,34075,1,34075,Manuel Lattes de Moura,anarch,runner,resource
5079,Kiriel,91779,34094,1,34094,Ashen Epilogue,neutral-runner,runner,event
5079,Kiriel,91779,34095,1,34095,Valentina Ferreira Carvalho,neutral-runner,runner,resource
5079,Kiriel,91779,35007,3,35007,Gourmand,anarch,runner,program
5079,Kiriel,91779,35011,2,35011,Rent Rioters,anarch,runner,resource
5079,Kiriel,91779,35017,3,35017,Transfer of Wealth,criminal,runner,event
5079,profwacko,91204,26084,2,26084,Aniccam,shaper,runner,hardware
5079,profwacko,91204,26085,3,26085,Simulchip,shaper,runner,hardware
5079,profwacko,91204,26087,1,26087,Euler,shaper,runner,program
5079,profwacko,91204,26090,2,26090,Self-modifying Code,shaper,runner,program
5079,profwacko,91204,30007,2,30007,Fermenter,anarch,runner,program
5079,profwacko,91204,30025,1,30025,Echelon,shaper,runner,program
